method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,0,0.6897100188127263,0.6036682615629985,4.9114227294921875e-05,0.09228992462158203,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,1,0.6897100188127263,0.6036682615629985,5.364418029785156e-05,0.09245038032531738,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,2,0.6897100188127263,0.6036682615629985,5.817413330078125e-05,0.0952138900756836,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,3,0.6897100188127263,0.6036682615629985,5.316734313964844e-05,0.09594917297363281,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,4,0.6897100188127263,0.6036682615629985,5.53131103515625e-05,0.0940866470336914,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,7,0.6897100188127263,0.6036682615629985,4.482269287109375e-05,0.08547401428222656,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,8,0.6897100188127263,0.6036682615629985,5.8650970458984375e-05,0.10670828819274902,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,5,0.6897100188127263,0.6036682615629985,5.53131103515625e-05,0.10183906555175781,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,6,0.6897100188127263,0.6036682615629985,5.340576171875e-05,0.09779095649719238,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,9,0.6897100188127263,0.6036682615629985,5.2928924560546875e-05,0.09421658515930176,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,10,0.6897100188127263,0.6036682615629985,5.316734313964844e-05,0.09405326843261719,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,13,0.6897100188127263,0.6036682615629985,5.173683166503906e-05,0.09751486778259277,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,11,0.6897100188127263,0.6036682615629985,5.173683166503906e-05,0.09275388717651367,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,16,0.6897100188127263,0.6036682615629985,5.1975250244140625e-05,0.136824369430542,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,14,0.6897100188127263,0.6036682615629985,4.506111145019531e-05,0.08315229415893555,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,17,0.6897100188127263,0.6036682615629985,5.245208740234375e-05,0.09581303596496582,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,15,0.6897100188127263,0.6036682615629985,5.626678466796875e-05,0.10047769546508789,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,18,0.6897100188127263,0.6036682615629985,5.1021575927734375e-05,0.09155440330505371,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,19,0.6897100188127263,0.6036682615629985,5.7220458984375e-05,0.10174727439880371,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,21,0.6897100188127263,0.6036682615629985,5.435943603515625e-05,0.10461878776550293,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,12,0.6897100188127263,0.6036682615629985,4.267692565917969e-05,0.08717083930969238,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,24,0.6897100188127263,0.6036682615629985,5.173683166503906e-05,0.11410641670227051,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,26,0.6897100188127263,0.6036682615629985,4.982948303222656e-05,0.1027991771697998,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,25,0.6897100188127263,0.6036682615629985,5.412101745605469e-05,0.10237860679626465,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,23,0.6897100188127263,0.6036682615629985,3.790855407714844e-05,0.07568645477294922,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,22,0.6897100188127263,0.6036682615629985,4.2438507080078125e-05,0.08670949935913086,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,27,0.6897100188127263,0.6036682615629985,5.8650970458984375e-05,0.10046172142028809,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,29,0.6897100188127263,0.6036682615629985,6.0558319091796875e-05,0.11377739906311035,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,28,0.6897100188127263,0.6036682615629985,5.316734313964844e-05,0.10631370544433594,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,20,0.6897100188127263,0.6036682615629985,3.5762786865234375e-05,0.08039116859436035,[]
